Order Number,Transaction Date,Order Charged Timestamp,Transaction Type,Device Model,Product Title,Product id,Product Type,Sku Id,Currency of Sale,Item Price,Taxes Collected,Amount (Buyer Currency),City of Buyer,State of Buyer,Buyer Postal Code,Buyer Country,Base Plan ID,Offer ID
GPA.3338-2452-0999-31532,2021-11-05,1636150292,Charged,minsk,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.25,3.74,ANOKA,MN,55303,US,,
GPA.3387-2051-6672-38201,2021-11-05,1636150758,Charged,gta4xlwifi,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.45,5.94,BEAUMONT,TX,77707,US,,
GPA.3371-8250-3645-41730,2021-11-05,1636156654,Charged,c1q,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.24,3.73,OSGOOD,IN,47037,US,,
GPA.3379-8679-8679-34724,2021-11-06,1636159237,Charged,b2q,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,GBP,2.16,0.43,2.59,,,,GB,,
GPA.3349-0871-8571-68988,2021-11-06,1636160120,Charged,c1q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.38,5.87,OSGOOD,IN,47037,US,,
GPA.3303-1485-0483-21032,2021-11-06,1636193629,Charged,d1q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,RENO,NV,89509,US,,
GPA.3350-9340-4412-91769,2021-11-06,1636194270,Charged,crosshatch,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,USD,1.99,0.15,2.14,EUCLID,OH,44117,US,,
GPA.3360-8265-5840-31719,2021-11-06,1636203486,Charged,beyond1,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3376-3079-0739-93031,2021-11-06,1636203510,Charged,beyond1,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,GBP,2.16,0.43,2.59,,,,GB,,
GPA.3308-2069-6584-89515,2021-11-06,1636203569,Charged,crownlte,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,GBP,2.16,0.43,2.59,,,,GB,,
GPA.3345-0213-2907-64718,2021-11-06,1636203581,Charged,crownlte,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,GBP,3.49,0.7,4.19,,,,GB,,
GPA.3397-1209-0209-21721,2021-11-06,1636218011,Charged,d2q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,COLUMBUS,GA,31903,US,,
GPA.3389-5621-5425-08565,2021-11-06,1636218022,Charged,d2q,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.0,3.49,COLUMBUS,GA,31903,US,,
GPA.3365-0153-9379-15153,2021-11-06,1636219506,Charged,crownlte,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,EUR,1.66,0.33,1.99,,,,FR,,
GPA.3331-4516-6109-46087,2021-11-06,1636221739,Charged,crownqltesq,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.35,3.84,Gardendale,AL,35071,US,,
GPA.3374-9208-0036-74929,2021-11-06,1636222447,Charged,beyond0q,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,USD,1.99,0.16,2.15,Glendale,AZ,85307,US,,
GPA.3355-4366-2296-16201,2021-11-06,1636222459,Charged,beyond0q,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,USD,2.49,0.2,2.69,Glendale,AZ,85307,US,,
GPA.3323-0462-6948-95472,2021-11-06,1636223774,Charged,j7topeltevzw,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.0,3.49,HOT SPRINGS,AR,71913,US,,
GPA.3352-6962-6808-14323,2021-11-06,1636227129,Charged,HWCOL,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,EUR,1.77,0.34,2.11,,,,DE,,
GPA.3346-0431-0750-77587,2021-11-06,1636235275,Charged,a52xq,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.31,3.80,Lackawanna,NY,14218,US,,
GPA.3318-9178-5563-48902,2021-11-06,1636235352,Charged,a52xq,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.48,5.97,Lackawanna,NY,14218,US,,
GPA.3327-4290-0824-80732,2021-11-06,1636238351,Charged,r8q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,Bella Vista,AR,72714,US,,
GPA.3301-7774-9739-62502,2021-11-07,1636243410,Charged,a41,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.19,0.8,4.99,,,,DE,,
GPA.3380-3805-0825-10762,2021-11-07,1636246124,Charged,j7popltevzw,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.44,5.93,LEWISTON,NY,14092,US,,
GPA.3330-2791-0240-69697,2021-11-07,1636246147,Charged,j7popltevzw,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,USD,3.49,0.28,3.77,LEWISTON,NY,14092,US,,
GPA.3329-8362-4231-98971,2021-11-07,1636246693,Charged,P10000_Pro,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,ZAR,70.43,10.56,80.99,Alberton,,1961,ZA,,
GPA.3335-7765-0437-78226,2021-11-07,1636252826,Charged,OnePlusN10TMO,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.0,1.96,STEELVILLE,MO,65565,US,,
GPA.3373-5391-3216-50111,2021-11-07,1636255657,Charged,p3q,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,STRASBURG,MO,64090,US,,
GPA.3361-0655-7413-63408,2021-11-07,1636288582,Charged,DRD_sprout,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,4.12,0.87,4.99,,,,BE,,
GPA.3357-2509-5925-34870,2021-11-07,1636312335,Charged,HWMAR,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,EUR,2.19,0.8,2.99,,,,DE,,
GPA.3372-8319-1387-64750,2021-11-07,1636320049,Charged,coral,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,USD,5.49,0.0,5.49,MARIETTA,GA,30008,US,,
GPA.3357-3340-5284-86834,2021-11-07,1636323013,Charged,o1q,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,inapp,unlockcharactermanager,USD,1.96,0.18,2.14,LAKE STEVENS,WA,98258,US,,
GPA.3301-7798-8090-62736,2021-11-07,1636323055,Charged,o1q,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,inapp,premium,USD,2.49,0.22,2.71,LAKE STEVENS,WA,98258,US,,
GPA.3308-2622-4795-69721,2021-11-08,1636345920,Charged,a51,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,premium,BRL,12.99,0.0,12.99,Rio de Janeiro,RJ,22763-050,BR,,
GPA.3349-3636-0570-82229,2021-11-08,1636345963,Charged,a51,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,inapp,unlockcharactermanager,BRL,20.99,0.0,20.99,Rio de Janeiro,RJ,22763-050,BR,,
GPA.3341-8592-2939-61201,2021-11-08,1636388725,Charged,a51,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,premium,USD,2.49,0.24,2.73,UNINCORPORATED,TN,37865,US,,
GPA.3367-2149-4089-98095,2021-11-08,1636388773,Charged,a51,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,inapp,unlockcharactermanager,USD,1.99,0.19,2.18,UNINCORPORATED,TN,37865,US,,
